datetime,cellname,voltage
2025-08-08 07:45:41,ad572adc-9b98-4be4-b28b-f796d939c527,1.891
2025-07-23 16:02:43,f4adff30-9bf5-451d-87a7-f96e85834429,2.3792
2025-10-21 15:52:38,db625eb0-09be-44f4-ab4f-89241e23a3cd,7.132
2025-02-25 08:08:08,3501e72d-6286-430d-86f5-e68a8c912a2a,8.1339
2025-08-28 00:32:01,34ad3561-1003-4f15-95b9-92e1e96bfb65,7.476
2025-11-04 18:38:19,5958d48b-fc22-4600-870d-f9d432187217,10.1446
2025-12-31 07:03:39,4c0b2e40-e6f8-4ee5-802b-3463562533d3,3.378
2025-02-21 13:43:00,2fa7b506-74f8-4d22-903b-c25db58b319a,7.6179
2025-06-29 09:24:25,330bb78e-7506-4fda-8a3f-1a0aca90953b,8.9244
2026-01-13 19:26:37,0e388468-0a33-4c67-a3b7-b41dc30d9fc3,3.2253
2026-01-23 22:27:11,f3e6bf61-08be-4e72-bed8-6f1a8272905e,5.3615
2025-08-26 02:11:51,816261fa-966e-46da-8a38-815886236e77,10.8267
2025-11-04 23:21:56,6ac83fbc-6e58-4b4c-bb63-fc09911b89c5,1.9184
2025-08-12 12:34:33,ac2fb0b2-db1c-44aa-913e-206c01810f48,4.3439
2025-04-16 08:17:55,fcccadad-a5ba-4e30-9963-9157f2411259,0.321
2026-02-08 03:41:56,051390de-2151-47f1-93a0-23baf17ef445,11.8406
2025-10-17 03:16:58,ab2d14e6-ce52-4ef3-bfc0-dcb9660848c3,6.9623
2025-09-24 02:19:42,0e838e0b-a6da-4f32-9dfb-b4ef7746e258,4.9989
2025-09-19 07:58:13,081f5917-4718-4e92-88bd-77b7ef5a0c60,5.5212
2025-12-21 00:16:34,36c96be3-b437-4c65-af12-18fd38dbd9d0,12.5865
2025-05-27 23:53:38,0f2f3952-aa50-437f-b241-2676fec06656,2.6971
2026-01-29 12:18:09,25a869f9-f146-4ec0-b495-1a972d840b15,9.2654
2025-08-26 06:47:58,ba4f389a-ccdb-48e7-a7e1-b1ea8dce6330,11.8304
2025-03-12 07:37:23,a942202d-c284-4b1e-8a3e-69f15a765712,4.1751
2025-02-19 02:54:46,4d9ce367-530f-4389-89a2-e2bea735c944,12.8477
2025-04-02 00:54:09,561e87f2-298c-412b-a522-5e34ead58be7,2.8695
2025-03-02 08:30:27,2c7bf8fd-aee4-4d90-b1ed-589f89473555,11.3511
2026-02-08 19:22:24,be0fbe54-1bd8-444b-ab3f-e7caf8bd5d8d,12.5046
2025-09-03 04:54:35,4e6a9501-00bd-4b16-9186-c388e36add72,0.4496
2025-03-10 17:07:06,a1ad6bba-4c92-4a8e-9a42-894b6ba6e576,6.1458
2025-04-27 15:33:15,721ab619-ab98-4daa-8908-7efef739858d,12.4693
2026-01-09 05:13:53,db5d4511-e2a3-41e6-94ef-5544faeb9acb,0.4636
2025-10-13 17:24:23,a15ae924-5185-45d1-807d-1eeeba0f0080,9.6678
2025-08-12 07:36:43,b8df5f3c-1728-42d3-a148-536ce804ea80,2.3244
2025-02-14 20:07:48,f1572536-2f26-480f-a55d-ed5dd2472a17,6.0454
